都道府県名,グルメ名,説明,画像URL
鳥取県,鳥取牛骨ラーメン,全国的にも珍しい牛骨スープを使ったラーメン。牛骨特有の甘く香ばしい風味があり、ちぢれ麺と相性も良くまろやかな味わいが特徴です。,lib/images/icon121.jpeg
鳥取県,モサエビ,モサエビとは、クロザコエビの鳥取県内での呼び名で、鮮度が落ちるのが早く、なかなか鳥取以外の地方に出回らないようです。甘エビをも上回ると称される甘みが魅力です。,lib/images/icon122.jpeg
鳥取県,松葉がに,鳥取県の鳥取港で水揚げされた、甲羅が11cm以上の松葉がにはブランドがにとして有名。殻がとても硬く、ハサミの部分が太いという特徴を持ちます。,lib/images/icon123.jpeg
鳥取県,ホルそば,ホルそばとは、ホルモン焼きを具材とした「ホルモン焼きそば」のこと。ほかの地域では豚ホルモンを使うところもありますが、こちらは牛ホルモンのみを具材としている点が特徴です。,lib/images/icon124.jpeg
島根県,出雲そば,出雲地方で古くから親しまれている出雲そばは、日本三大そばのひとつに数えられる郷土料理です。殻つきの蕎麦の実を製粉して作る麺は黒っぽく、独特の風味や香りが楽しめます。,lib/images/icon125.jpeg
島根県,のどぐろ,島根沖の漁場は、のどぐろの餌が豊富で、「白身のトロ」と絶賛される脂ののった「のどぐろ」の宝庫です。島根県では、1年を通じて刺身や塩焼き、鍋や煮付けなどののどぐろ料理が味わえます。,lib/images/icon126.jpeg
島根県,松江おでん,具材が大きく、おでんダネには珍しい、地元産の黒田セリや春菊などの葉物が入っているのが特徴です。うどんを入れた「おどん」も新ご当地グルメとして注目されています。,lib/images/icon127.jpeg
島根県,しじみ,島根県では国内の漁獲高日本一を誇るしじみが獲れます。しじみ汁をはじめ、しじみハンバーガーなどユニークなグルメを味わえます。,lib/images/icon128.jpeg
岡山県,津山ホルモンうどん,新鮮なミックスホルモンをたっぷり入れ、味噌や醤油ベースのたれを絡めてうどんと一緒に焼き上げる津山ホルモンうどん。B-1グランプリでは準グランプリを獲得しています。,lib/images/icon129.jpeg
岡山県,デミかつ丼,岡山県のかつ丼はデミグラスソースをからめたかつ丼で、デミかつ丼と呼ばれます。サクサクの衣を身にまとったかつに、甘く癖になる味わいのデミグラスソースが合わさっています,lib/images/icon130.jpeg
岡山県,ばらずし,ばらずしは瀬戸内海の海の幸と旬の野菜を華やかに盛りつけたお寿司です。旬の食材で作るためその時どきの新鮮な魚介や風味豊かな野菜が味わえるのも楽しみの一つです。,lib/images/icon131.jpeg
岡山県,えびめし,えびめしは、デミグラスソースを中心に、カラメルやウスターソース、ケチャップなどで作った独自のソースで味付けしたチャーハン。意外とマイルドで上品な味わいです。,lib/images/icon132.jpeg
広島県,広島風お好み焼き,広島では生地の上にキャベツなどを重ねて焼いていく重ね焼が主流。これに中華そばなどの麺が加わることが多く、カットすると断面が層のようになっているのが特徴です。,lib/images/icon133.jpeg
広島県,牡蠣,広島県の名物牡蠣は、他の地域の牡蠣と違い、良質な漁場で育つため一回り・二回りも大きいのが特徴です。生牡蠣や焼牡蠣、牡蠣めしなど、あらゆる牡蠣料理が楽しめます。,lib/images/icon134.jpeg
広島県,広島つけ麺,広島市の新華園が発祥とされている広島つけ麺。冷たくしめた中華麺に、チャーシュー、ゆで野菜、ゆで卵の具材を合わせ、つけだれは醤油ベースに唐辛子やラー油を入れ、辛口に仕上げます。,lib/images/icon135.jpeg
広島県,尾道ラーメン,鶏がらに魚介を加えた醤油ベースのスープに豚の背脂が浮かべてあるのが特徴的な尾道ラーメン。コシのある平打ち麺がスープとよく絡み相性抜群です。,lib/images/icon136.jpeg
山口県,ふぐ,下関といえば「とらふく」。特に冬の時期に下関市南風泊市場で水揚げされる活きた国内産「とらふく」は上品な甘味と豊かな香り、歯ごたえが絶妙です。,lib/images/icon137.jpeg
山口県,瓦そば,下関市豊浦町で生まれた郷土料理。熱々の瓦の上には、たっぷりの茶そばや錦糸卵、牛肉やレモン、ネギといった具が盛られ、あたたかいおつゆにつけていただきます。,lib/images/icon138.jpeg
山口県,岩国寿司,岩国市周辺で古くから親しまれている郷土料理。魚の身を混ぜた酢飯を木枠に入れ、3～5層ほどに重ねてつくられます。レンコンやしいたけ、錦糸卵や桜でんぶなど、色鮮やかな具で飾りつけられます。,lib/images/icon139.jpeg
山口県,ばりそば,パリパリ極中太のかた焼きそばに、あんかけスープと具が沢山入った麺料理。長崎の皿うどんと違い、皿うどんの優に2倍はあろうかというサイズが最大の特徴です。,lib/images/icon140.jpeg
徳島県,徳島ラーメン,醤油系のスープをベースに豚のバラ肉やネギ・もやしをトッピングし、最後に生卵を割り落とすところが最大の特徴です。スープの色から、白色系、茶色系、黄色系と3系統に分類され、コクのある豚骨スープに濃い口醤油で味付けを行う茶系が代名詞とされています。,lib/images/icon141.jpeg
徳島県,阿波尾鶏,徳島県の伝統的な盆踊り=阿波踊りにちなんで名付けられた阿波尾鶏は、徳島県で飼育されているブランド地鶏です。低脂肪で適度な歯ごたえ、甘味とコクがありジューシーな肉質が特徴です。,lib/images/icon142.jpeg
徳島県,鳴門鯛,全国的な知名度を誇るブランド食材・鳴門鯛。鳴門海峡の激しい激流に揉まれることで身が引き締まり、歯ごたえのある食感が最大の特徴です。,lib/images/icon143.jpeg
徳島県,祖谷そば,祖谷の郷土料理の代表格。祖谷産のそば粉を100%使い、ほとんどつなぎを使わず打つため、太く少し短い麺で、香り高いのが特徴です。,lib/images/icon144.jpeg
香川県,讃岐うどん,コシが強く、つるっとした喉ごしの良さ、もちもちの食感が楽しめる、麵が主役の讃岐うどん。ぶっかけ、かけ、しょうゆ、釜玉、釜バターなど、いろいろなスタイルで楽しまれています。,lib/images/icon145.jpeg
香川県,骨付鳥,丸亀市が発祥のご当地グルメ。骨の付いた鶏もも肉を、にんにくが効いたスパイスで味付けし、じっくり丁寧に焼いた一品で、外はカリッとした食感、中からはジューシーな旨みがあふれ出します。,lib/images/icon146.jpeg
香川県,ぴっぴ飯,坂出発のそば飯のそばの代わりにうどんが入ったうどん飯。うどんのだしでしっかり味付けした御飯は、シンプルながらとてもクセになる美味しさです。,lib/images/icon147.jpeg
香川県,かっしゃ焼,香川県を代表する粉物グルメ、かっしゃ焼。見た目はたこ焼きそのものですが、中に入っているのはタコではなくカレー味の付いた鶏肉で、たこ焼きよりも柔らかくトロトロした食感です。,lib/images/icon148.jpeg
愛媛県,鯛めし,愛媛県の郷土料理として有名な鯛めし。卵や醤油を混ぜた出汁に浸した切り身状の生の鯛を、ご飯と合わせ海鮮丼のように頂く「宇和島鯛めし」と、鯛丸ごと一匹を大胆に釜で炊く「松山鯛めし」の２種類があります。,lib/images/icon149.jpeg
愛媛県,八幡浜ちゃんぽん,野菜の他に特産品のじゃこ天などの練り物が具材に使われている、愛媛県オリジナルのちゃんぽんです。鰹や昆布で出汁を取るため、スープは通常の中華そばのように透き通っており、味わいもすっきりしています。,lib/images/icon150.jpeg
愛媛県,今治焼き鳥,焼き鳥と言えば鶏肉を串に刺して焼いたものが一般的ですが、今治焼き鳥は鶏肉を串に刺さずに鉄板の上で重しを乗せてプレスして焼き上げます。一般的な焼き鳥よりもサクサクに焼き上がるのが特徴です。,lib/images/icon151.jpeg
愛媛県,焼豚玉子飯,今治市のソウルフードであり、B級ご当地グルメNo.1とも言われている焼豚玉子飯。ご飯に焼豚をのせてから甘辛いタレをかけ、半熟目玉焼きをのせたシンプルな料理です。,lib/images/icon152.jpeg
高知県,カツオ,瀬戸内海で獲れた新鮮なカツオで作ったたたきは高知のご当地グルメの代表です。生姜やネギ、わさびなどの薬味とポン酢やタレをたっぷりかけたかつおのたたきは絶品そのものです。,lib/images/icon153.jpeg
高知県,鍋焼きラーメン,鍋焼きうどんならぬ、鍋焼きラーメンが有名な高知県。ただ鍋に入れるだけでなく、鍋焼き用生麺を使った、親鳥の旨味あふれるご当地グルメです,lib/images/icon154.jpeg
高知県,屋台餃子,飲みの〆にラーメンと共に好んで食べられてきたのがちょっと小ぶりの餃子です。屋台の餃子の特徴は、普通の餃子の半分ほどの薄い皮で、独特な揚げ焼きなので、ちょっと冷めてもパリパリサクサクです。,lib/images/icon155.jpeg
高知県,室戸キンメ丼,日本屈指の金目鯛の水揚げ量を誇る室戸市。その金目鯛の照り焼きと旬の地魚の刺身を盛り合わせた贅沢なご当地丼ぶりで、そのまま半分食べた後に、金目鯛のダシが効いたお吸い物をかけていただくと2度美味しいどんぶりです。,lib/images/icon156.jpeg
福岡県,博多ラーメン,博多ラーメンは、福岡を代表する名物料理。白濁したとんこつスープと細麺が基本で、注文時に麺の硬さが選べることや、替え玉ができるのが特徴です。,lib/images/icon157.jpeg
福岡県,もつ鍋,博多が発祥の地といわれるもつ鍋は、鉄分豊富なスタミナ食材である、プリプリの牛もつが入っていることが特徴。もつ以外にもキャベツやニラがたっぷり入り、うま味が凝縮したスープを楽しめます。,lib/images/icon158.jpeg
福岡県,とり皮,カリカリ×モチモチという今までにない食感と、甘辛いタレが堪らないとり皮。カリッカリに焼けた皮は脂がしつこくなく何本でも食べられます。,lib/images/icon159.jpeg
福岡県,辛子明太子,福岡で長く愛される特産品、辛子明太子。ぴりっとした辛さの中にも旨みたっぷりの辛子明太子を使ったグルメが数多くあります。,lib/images/icon160.jpeg
佐賀県,シシリアンライス,炒めたお肉とトマトやレタスなどの野菜をご飯の上にのせ、マヨネーズなどで味付けをしたもの。佐賀市内のレストランや喫茶店などで提供されているご当地グルメです。,lib/images/icon161.jpeg
佐賀県,佐賀牛,「JAさが」管内で飼育された黒毛和牛のうち、肉質等級4～5に相当する基準を満たしたもののみが佐賀牛と呼ばれます。細やかな霜降りが散りばめられた赤身からは、甘さや旨みも感じられます。,lib/images/icon162.jpeg
佐賀県,呼子イカ,呼子イカとは、唐津市呼子で獲れたケンサキイカのこと。透き通った美しい身は、ほのかに甘みがありコリコリとした癖になる食感が特徴です。,lib/images/icon163.jpeg
佐賀県,竹崎かに,太良町で獲れたブランドガニの竹崎かに。有明海のプランクトンなど豊かな自然の恵みを食べて育っているため、身がぎっしり。夏はオス、冬は卵を持ったメスが旬で、通年楽しめるのが特徴です。,lib/images/icon164.jpeg
長崎県,長崎ちゃんぽん,長崎ちゃんぽんは中国の食文化の影響を受けてできた名物料理で、豚肉や魚介類、野菜など様々な具が入った栄養満点の麺料理です。長崎でしか食べられない唐灰汁で作られた麺の独特な香りを楽しめます。,lib/images/icon165.jpeg
長崎県,皿うどん,長崎ちゃんぽんと並んで長崎県名物になっているのが、皿うどんです。本場長崎県には2種類の皿うどんがあり、パリパリ麺のほか、揚げないちゃんぽん麺を使用した柔らかい麺のバージョンもあり、この太麺と細麺の2種類から選ぶことができます。,lib/images/icon166.jpeg
長崎県,レモンステーキ,よくあるステーキの一枚肉ではなく、薄切りの牛肉を熱々の鉄板の上に乗せるのが特徴のひとつです。上からたっぷりのレモンを絞った醤油ベースのソースをかけ、赤いところの残ったレアの状態で提供されます。,lib/images/icon167.jpeg
長崎県,佐世保バーガー,アメリカンサイズの大きなバンズに分厚いビーフとベーコンエッグが挟まれているのが特徴の佐世保バーガー。佐世保バーガー認定制度も導入されなど、お店によって異なるこだわりの味わいを楽しむことができます。,lib/images/icon168.jpeg
熊本県,馬肉,ほかの肉に比べて、低カロリー、低脂肪、低コレステロール、高タンパクと栄養価が高い馬肉は、熊本県を代表する食材です。新鮮な馬刺しは、脂が白くとろける食感です。,lib/images/icon169.jpeg
熊本県,太平燕,鶏ガラスープにたっぷりの野菜や魚介、そしてヘルシーな春雨が入った麺料理です。具材の旨みがたっぷり溶け込んだスープを吸ったツルツルの春雨の味わいと食感がクセになります。,lib/images/icon170.jpeg
熊本県,熊本ラーメン,豚骨ラーメン発祥の地である福岡県久留米市から熊本県へと伝わったラーメンです。博多ラーメンよりも太い麺を使い、豚骨と鶏ガラを使用します。仕上げに揚げニンニクやマー油を添えるのも特徴でマイルドな味わいです。,lib/images/icon171.jpeg
熊本県,あか牛,阿蘇の雄大な自然の中で育った和牛、あか牛は脂肪が少ない良質な赤身のお肉です。県内ではステーキにしたり、そのステーキを丼に載せたり、旨味たっぷりのハンバーグにしたり、様々な調理法で味わうことができます。,lib/images/icon172.jpeg
大分県,とり天,大分県民なら誰でも知っていて親しみのあるソウルフード。鶏の唐揚げとはまた少し違って、下味を付けた鶏肉に衣を付けて揚げ、酢醤油と練り辛子でいただくというスタイルが一般的です。,lib/images/icon173.jpeg
大分県,地獄蒸し料理,大分では、温泉の蒸気が噴出した地獄窯を利用して、食材を蒸し上げる調理法を地獄蒸しと呼んでいます。季節の野菜や地元で獲れた魚介類などを蒸気で蒸しあげるので旨味が逃げず、温泉の滋味も付加されて味わい深いものになります。,lib/images/icon174.jpeg
大分県,別府冷麺,別府冷麺は醤油ベースの黒いスープが特徴で、麺自体も盛岡冷麺の細麺にたいして別府冷麺は弾力重視の太麺が特徴です.,lib/images/icon175.jpeg
大分県,りゅうきゅう,サバ・アジ・ブリなどの旬の魚の切り身を醤油ダレに漬け込み、薬味をかけていただく郷土料理。ほどよく染み込んだ醤油の味わいとトロリとした食感が魅力です.,lib/images/icon176.jpeg
宮崎県,チキン南蛮,カラっと揚がった鶏肉に、甘酸っぱいタレとたっぷりのタルタルソースがかかった、宮崎を代表するローカルフード。タルタルソースの種類が多い店もあり、食べ比べするのもおすすめです.,lib/images/icon177.jpeg
宮崎県,辛麺,延岡市発祥のご当地ラーメン。唐辛子とにんにくが利いた辛くて旨いスープ、蕎麦粉と小麦粉で作られたこんにゃくの様な麺が特徴です.,lib/images/icon178.jpeg
宮崎県,地鶏炭火焼き,火柱の中で豪快に炙り焼く宮崎の代表グルメ。炭の香ばしさをまとった鶏肉はムチっとした弾力があり、噛めば噛むほど肉汁が口いっぱいに広がります.,lib/images/icon179.jpeg
宮崎県,宮崎牛,「全国和牛能力共進会」にて、最高賞「内閣総理大臣賞」を何度も受賞している宮崎のブランド牛。肉質とその霜降りの良さが最大の特徴です.,lib/images/icon180.jpeg
鹿児島県,つけあげ,さつま揚げのことで、他地域のさつま揚げよりも甘めの味付けが特徴です。鹿児島には幾つか有名なさつま揚げのお店があり、揚げたてのサクッとした食感のさつま揚げを食べられます.,lib/images/icon181.jpeg
鹿児島県,かごしま黒豚,地元の名産であるサツマイモで育った黒豚は歯切れがよく、柔らかいことが特徴で、甘みのある上質な脂が魅力。とんかつ、豚しゃぶなど多様な絶品グルメを味わえます.,lib/images/icon182.jpeg
鹿児島県,鹿児島ラーメン,スープの白濁具合は薄めで、脂っこさも少ないため、あっさりとした味わい。柔らかめのストレート麺を使用し、ネギやもやしなど野菜のトッピングが多めなことが特徴です.,lib/images/icon183.jpeg
鹿児島県,しろくま,鹿児島発祥のかき氷しろくまは、かき氷にフルーツ、豆類、ゼリーなどをトッピングして練乳をかけたもの。各店舗がその店オリジナルのしろくまを提供していることでも知られます.,lib/images/icon184.jpeg
沖縄県,沖縄そば,沖縄そばは、そば粉ではなく、小麦粉と水で作られたもっちりとした食感の麺が特徴です。ソーキそば（スペアリブ）や、テビチ（豚足）など、沖縄らしい食材をトッピングしたメニューも豊富です.,lib/images/icon185.jpeg
沖縄県,ゴーヤチャンプルー,島豆腐、豚肉、ゴーヤーなどの材料を炒め、仕上げに溶き卵を加えた郷土料理。ゴーヤの苦味と具材や出汁の甘味が食欲を刺激し、夏バテ防止にも一役買う暑い沖縄ならではの料理です.,lib/images/icon186.jpeg
沖縄県,タコライス,メキシコ料理でおなじみのタコスを、ご飯にトッピングして食べる沖縄発祥のメニュー。アメリカ領であった頃に伝わった、タコスをヒントに生み出されたものです.,lib/images/icon187.jpeg
沖縄県,海ぶどう,沖縄のヘルシーメニューのひとつで、別名「グリーンキャビア」とも呼ばれ、プチプチとした食感が特徴の海藻。お刺身やサラダでいただくのも美味ですが、沖縄では丼メニューも好評です.,lib/images/icon188.jpeg
